player,team,image,Player,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s
Kamran Khan,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,3,5,1,0,3,3.00,5,60.00,0,0,0,0
Mashrafe Mortaza,KKR,https://scores.iplt20.com/ipl/playerimages/Mashrafe Mortaza.png?v=1,2,1,1,1,2*,0.00,2,100.00,0,0,0,0
Mohammad Ashraful,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,2,1,1,0,2,2.00,10,20.00,0,0,0,0
Thilan Thushara,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,2,2,2,1,1*,2.00,7,28.57,0,0,0,0
Ashok Dinda,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,2,9,2,0,2,1.00,3,66.66,0,0,0,0
Taruwar Kohli,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,1,2,2,1,1,1.00,4,25.00,0,0,0,0
Pankaj Singh,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,1,3,2,1,1*,1.00,2,50.00,0,0,0,0
Amit Singh,RR,https://scores.iplt20.com/ipl/playerimages/Amit Singh.png?v=1,1,5,2,1,1*,1.00,3,33.33,0,0,0,0
Shoaib Ahmed,DEC,https://scores.iplt20.com/ipl/playerimages/Shoaib Ahmed.png?v=1,1,7,3,1,1*,0.50,6,16.66,0,0,0,0
Pragyan Ojha,DEC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,1,15,4,1,1,0.33,7,14.28,0,0,0,0
Luke Ronchi,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,0,1,1,0,0*,0.00,2,0.00,0,0,0,0
Tanmay Srivastava,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,0,2,1,1,0*,0.00,1,0.00,0,0,0,0
Chetanya Nanda,MI,https://scores.iplt20.com/ipl/playerimages/Chetanya Nanda.png?v=1,0,3,1,0,0*,0.00,1,0.00,0,0,0,0
Dale Steyn,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,0,3,2,1,0*,0.00,3,0.00,0,0,0,0
Ajantha Mendis,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,0,4,1,0,0*,0.00,1,0.00,0,0,0,0
KP Appanna,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,0,5,1,1,0*,0.00,1,0.00,0,0,0,0
Lasith Malinga,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,0,13,3,1,0*,0.00,1,0.00,0,0,0,0
