player,team,image,Player,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s
Jos Buttler,RR,https://scores.iplt20.com/ipl/playerimages/Jos Buttler.png?v=1,328,13,12,2,70*,32.80,227,144.49,0,2,27,16
Kane Williamson,SRH,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,317,12,11,4,67,45.28,237,133.75,0,3,26,10
Steve Smith,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,311,14,14,2,69,25.91,237,131.22,0,3,32,9
Shane Watson,CSK,https://scores.iplt20.com/ipl/playerimages/Shane Watson.png?v=1,299,11,11,1,83*,29.90,247,121.05,0,2,33,13
Chris Gayle,PBKS,https://scores.iplt20.com/ipl/playerimages/Chris Gayle.png?v=1,288,7,7,0,99,41.14,210,137.14,0,3,15,23
Ben Stokes,RR,https://scores.iplt20.com/ipl/playerimages/Ben Stokes.png?v=1,285,8,8,1,107*,40.71,200,142.50,1,1,36,7
Hardik Pandya,MI,https://scores.iplt20.com/ipl/playerimages/Hardik Pandya.png?v=1,281,14,13,5,60*,35.12,157,178.98,0,1,14,25
Aaron Finch,RCB,https://scores.iplt20.com/ipl/playerimages/Aaron Finch.png?v=1,268,12,12,0,52,22.33,241,111.20,0,1,28,8
Kieron Pollard,MI,https://scores.iplt20.com/ipl/playerimages/Kieron Pollard.png?v=1,268,16,12,7,60*,53.60,140,191.42,0,1,15,22
Rahul Tewatia,RR,https://scores.iplt20.com/ipl/playerimages/Rahul Tewatia.png?v=1,255,14,11,5,53,42.50,183,139.34,0,1,13,17
Ravindra Jadeja,CSK,https://scores.iplt20.com/ipl/playerimages/Ravindra Jadeja.png?v=1,232,14,11,6,50,46.40,135,171.85,0,1,22,11
Rahul Tripathi,KKR,https://scores.iplt20.com/ipl/playerimages/Rahul Tripathi.png?v=1,230,11,11,1,81,23.00,181,127.07,0,1,21,10
Prithvi Shaw,DC,https://scores.iplt20.com/ipl/playerimages/Prithvi Shaw.png?v=1,228,13,13,0,66,17.53,167,136.52,0,2,27,8
Wriddhiman Saha,SRH,https://scores.iplt20.com/ipl/playerimages/Wriddhiman Saha.png?v=1,214,4,4,1,87,71.33,153,139.86,0,2,24,5
Ruturaj Gaikwad,CSK,https://scores.iplt20.com/ipl/playerimages/Ruturaj Gaikwad.png?v=1,204,6,6,2,72,51.00,169,120.71,0,3,16,6
MS Dhoni,CSK,https://scores.iplt20.com/ipl/playerimages/MS Dhoni.png?v=1,200,14,12,4,47*,25.00,172,116.27,0,0,16,7
Robin Uthappa,RR,https://scores.iplt20.com/ipl/playerimages/Robin Uthappa.png?v=1,196,12,12,0,41,16.33,164,119.51,0,0,19,7
Sam Curran,CSK,https://scores.iplt20.com/ipl/playerimages/Sam Curran.png?v=1,186,14,11,3,52,23.25,141,131.91,0,1,12,12
Shimron Hetmyer,DC,https://scores.iplt20.com/ipl/playerimages/Shimron Hetmyer.png?v=1,185,12,11,3,45,23.12,125,148.00,0,0,11,12
Dinesh Karthik,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,169,14,14,2,58,14.08,134,126.11,0,1,20,4
Pat Cummins,KKR,https://scores.iplt20.com/ipl/playerimages/Pat Cummins.png?v=1,146,14,11,4,53*,20.85,114,128.07,0,1,9,8
Priyam Garg,SRH,https://scores.iplt20.com/ipl/playerimages/Priyam Garg.png?v=1,133,14,10,1,51*,14.77,111,119.81,0,1,9,4
Mandeep Singh,PBKS,https://scores.iplt20.com/ipl/playerimages/Mandeep Singh.png?v=1,130,7,7,1,66*,21.66,109,119.26,0,1,10,4
